track_number,title
1,Breed
2,Drain You
3,Aneurysm
4,School
5,Sliver
6,In Bloom
7,Come As You Are
8,Lithium
9,About a Girl
10,Serve the Servants
11,Dumb
12,Polly
13,On a Plain
14,Smells Like Teen Spirit
15,All Apologies
16,Blew
