track_number,title
1,Lucky
2,My Iron Lung
3,Airbag
4,Planet Telex
5,Exit Music (For a Film)
6,The Bends
7,No Surprises
8,Just
9,Paranoid Android
10,Karma Police
11,Bones
12,Fake Plastic Trees
13,Creep
14,Climbing Up the Walls
15,Street Spirit (Fade Out)
